Title,Author,Date,Content
Leg/Hip weakness/stiffness,dawn7767,2024-02-27T01:14:27+00:00,"I am 15 year post anal cancer.  The last few years I have been experiencing leg and hip weakness so bad that I can' get up off the floor when I get down to get something out of the cabinets or cleaning the floors.  Has anyone experienced or experiencing this also.  I really think it's from treatments, I had both chemo and radiation.  Any tips would be appreciated.   I have done PT yes it helped but I can't afford it on a long term basis.  It really helped when the therapist stretched my legs to areas that I cant.  I'm getting to the point that I'm having a VERY hard time getting up without anything to support (counter, chair, step stool etc)  I'm also very uneasy stepping down off a tall curb or step.  😥"
Chemo/Radiation Long Term Side Effects,dawn7767,2019-05-30T20:08:30+00:00,"I am now about 10 years post treatments.  After looking through several discussions it looks like most of us have alot of the same side effects.  
 
My first side effect started about 4 1/2 years after treatments ended and while I was on vacation.  I never had a issue until that day.  We ate lunch and was walking around seeing the sights and BAM uncontrollable diarrhea.  Now my stomach starts gurgling right before, but even then I have several accidents.  I tried taking Imodium with very little help. I am now taking Viberzi which does help except it is about $1000 per month for the precription.  I still have a few accidents and I can't pinpoint what is triggering it.  Any other suggestions?
 
I also have a mucus discharge.  Sometimes bothersome.  Any suggestions on what to help with this?
 
I know also have stiff thighs and a lower back where it is hard to bend down to pick up anything.  I am trying to stretch more and exercise more.  I just stared using a CBD safve that is helping a little. I am wondering if anyone else has had this happen also?
Any suggestions would be greatly appreicated.
 
Thank you
Dawn"
CT scan,Cheryl59,2024-10-20T22:45:15+00:00,"I saw my Oncologist a year ago, he congratulated me, he said I was done with my CT scans. But he said he was going to request one more CT scan . To see if they would approve it and The insurance approved it. Whats the guidelines when in remission, I was done with chemo and radiation on October 19,2019. Im confused I was hoping my insurance would of denied it"
Marijuana for pain?,goji,2024-01-29T20:07:25+00:00,"Has anyone had success with marijuana, gummies probably, for pain?  Luckily I live in a state where it’s legal. I’ve read that if it’s HPV related then a 3:1 ratio THC:CBD."
Proton beam therapy for anal cancer,hamservice,2024-10-18T14:13:10+00:00,Does anyone have experience with proton beam therapy instead of conventional radiation treatment for anal margin squamous cell cancer? I have just been diagnosed and am very afraid of long term effects of conventional radiation.
It has been a while,Charlie1963,2024-10-08T04:39:17+00:00,"I survived 2 rounds of chemo and weeks of daily radiation therapy.  It has been a little over a year since, if memory serves.My issue now is the near-daily pain and bleeding from fissures.  My surgeon told me I could do another ostomy; only this one would be permanent.   As bad as the temporary one was on my mental health, a permanent one is out of the question. All of my health issues have taken their toll- especially in my relationship.  I have been hurting for so long that I fear my partner is permanently distanced from me. Any suggestions on dealing with this stuff?  I am both angry and depressed.  Meds never helped, and I have recently begun therapy.Hopefully I will not be gone for so long in the future!"
Non-Ostomy... healing journey?,StarrT,2024-09-16T14:49:26+00:00,"Hey there, new here trying to learn the Forum thang…and still navigating the Survivor thing- 3yrs clear of Cancer/ treatment.If you've not had an Ostomy, does anyone else deal with mucus/ moisture leaking throut the day, leaving you feeling damp? My sphincters are both (internal 0/ external 1/3) mostly gone & scar tissue has little sensation. So anything exiting has to get away from opening b4 I can feel it.My ""OncologyTeam"" has had no advice or suggestions, other than a Full Ostomy which seems very drastic since there's no cancer to clear.So, I wear thin overnight liners during the day to keep moisture from soaking my clothes/ showing. Thankfully it has no odor. However, it still is frequent & pervasive, the leaking mucus. Have you dealt with this? Seen or heard anyone else mention it?Hoping for help/ ideas… Thanks!"
Scar tissue 6 years NED,Brendaklein,2024-07-03T18:57:53+00:00,"Yes, It hurts and is scary. My colon Doctor put me on Metamuscil in the morning and Miralax in the evening. It has helped me stay soft enough to pass normal size stool then goes to shoestring size. However, the scar tissue in on my sphincter and that's where to stool passes through. It gets inflamed and hurts now and then. I also use aquaphor everyday as well. I'm over 6 years NED now. Anyone have this problem? It there a better cream to put on it?"
Newly diagnosed,Deek1729,2024-03-27T13:36:39+00:00,"I am glad I found this site.  I was diagnosed 3/23/24. My first oncology appointment is 4/1.  From the pathology and scans it looks like I am stage 3 - scary but survivable.  Reading some of the posts I have been able to develop a list of questions for that first visit. I have a number of health issues, including MS and longstanding anemia, so I have been worried about the chemoradiation and how it will affect the other health problems.  Again, scary, but I will keep coming back to this site for tips."
long term side effects/Anyone know if my teeth problems could be related to the chemo treatment?,Psmall,2021-12-06T17:14:35+00:00,"Hello, new member here. I went through treatment 6 years ago. Had 5-fluorouracil (5-FU) and mitomycin as well as 35 radiation treatments. I'm now experiencing the long term side effects of each. I've had IBS for 4 years and now have a bad ulcer in my sigmoid colon. Also experiencing tooth decay/loss/periodontal problems for the past two years. Anyone know if my teeth problems could be related to the chemo treatment? I had awful mouth sores during treatment, couldn't talk for almost 2 weeks, had to have my teeth sanded by my dentist to help with the pain. Almost got so bad they were going to put me on a feeding tube. But wondering if my current tooth decay could be related to this chemo combo. any  help is greatly appreciated!!"
Celebrating my 5 year cancer free anniversary this week!,PainInTheBum,2024-07-07T19:33:51+00:00,Having my appointment on Tuesday with oncologist.  5 years since my cancer journey began.  Not one day goes by without forgetting how grateful I'm still here.  Phew!  After going through that treatment makes you able to handle just about anything else.  Grateful for all on this forum.  I don't come here often anymore but in the beginning I was on constantly looking for any support or knowledge I could find.  Must have read every post.  It was VERY helpful to get me through.
Reduced chemo radiation clinical trial for early detected anal cancer,Maulie,2024-07-08T13:25:54+00:00,"I am wondering if anyone has been offered this option for treatment.  This is a 2 arm study, randomized selection of standard treatment or trial group.  Qualifications; T1 or T2, no lymph node or Mets detected.The purpose of this study is to determine if reduction of treatment in early stage anal cancer provides similar efficacy as standard treatment with reduction of short and long term side effects.  If selected for the trial, chemo and radiation is reduced to 20-23 days, with gy radiation reduction too.Limited results with data right now.  Early data is showing 90% clear after 6 mos. Would you go for it or is the risk too great?Maulie"
Anal cancer,United82,2024-02-28T04:45:57+00:00,Hi  I’m close to starting my treatment and I’m scared to death!  Please tell me what to expect🥹
2nd opinion anal cancer,Maulie,2024-06-26T15:32:44+00:00,"I have recently been diagnosed with SCC anal cancer.  Right now, it’s stage 2, CT and MRI didn’t indicate nodes or Metz.  I had my first meeting with the Radiology Oncologist yesterday.  I can’t stand her.  No bedside manner, spoke to my husband more than me, and wouldn’t answer my questions until she was done with her schpeel (sp).  She also didn’t share what her experience was with patients with anal SCC when I asked.I want a second opinion, and and preferably a different radiology Oncologist.  I am in the process of setting up those appointments, but it will delay starting treatment - which worries me.  Has anyone sought a second opinion and did the delay change your cancer stage?  I want to keep this out of my lymph nodes and am concerned the delay will cause more harm than good.Thoughts and advice?Thank you - Maudie"
Hospital Choice,George33,2024-06-15T00:16:59+00:00,Newly diagnosed and live in northeast.  Which hospitals did you receive treatment at?
High resolution ultrasound anoscopy anal cancer,Beeger,2024-04-27T12:58:39+00:00,"Greetings Everyone,
Hope this finds everyone doing well and thriving. I am post anal cancer July 2021 post chemo radiation, have been getting manual rectal exams with anoscopy in the clinic now scheduled for High resolution anoscopy under the ultrasound and scope in the clinic that takes a more extensive look and possible biopsies if needed in the exam room without sedation and I am petrified. Is this painful? Should I request a Valium or demand it under sedation? Thoughts and advice is welcomed. 
Thank you for your feedback. 
Regards PZ"
Choosing where to get treatment,Deek1729,2024-04-03T07:27:20+00:00,"So it's getting real. Yesterday I met with the medical oncologist, today I meet the radiation oncologist.  As I had thought, it is a stage 3 cancer.  Yesterday I decided to get a second opinion next week.  I am fortunate to have easy access to two academic medical centers. While the diagnosis won't change, and I doubt the treatment plans will differ, I find myself most concerned about the support teams.  I want to make sure that I will have help with scheduling, quick access when I have serious side effects, etc."
Port removal,foxa14,2024-02-28T19:51:49+00:00,"So I think I’m gonna have to get my port removed but not because the cancer has ended…(it’s just stable for now) I had to have portagram this morning and when they tried to flush with saline, I got hit with a pocket of air in my neck it felt like a horse kicked me! And they were only able to get 1ml in! So I go in for the x ray and they were only able to put in 6 ml of contrast in and it was VERY painful!! Catheter isn’t functioning properly and the contrast was leaking through all my tissues and such in my neck. Very painful! Anyway, any advice on how to prep for this procedure? I sweat bullets at the thought of needles."
Did your anal cancer affect vaginal opening,lge,2023-12-10T16:24:21+00:00,"This question is for females I was recently diagnosed with anal cancer when I met with 2nd group Dr for 2nd opinion I mention that the vaginal opening is itching as much as anus, is this common for anal cancer? He referred me to gynecologist to be checked."
