Title,Author,Date,Content
Help with Transportation,knd0102,2023-07-11T09:00:17+00:00,"My sister was just diagnosed with  Brain Cancer. She is unable to drive. She has to have treatments 5 times a week for 6 weeks. She lives in Jeffersonville, In. and has to go to Norton’s Brownsboro Rd cancer facility in Louisville, Ky.  You can cross the new bridge which only would take 15-20 to arrive from her house. Do you have any type of transportation that she could rely on?  Please advise on our delimma. I am her sister. My name is Karen [Edited by CSN staff]Thank you for your time!"
COMFORT KIT FOR RADIATION AND CHEMO PILL,GOTHOPE,2024-10-21T15:44:34+00:00,"Hello Everyone.  Was hoping to receive some responses to my 'Radiation for Brain Cancer' post.  But I understand there are a multitude of questions and difficult to help everyone.  In the meantime, can anyone suggest some things for a care package for my sister-in-law?  I'm a cancer survivor myself, and I'm familiar with some things I can give her that might help in the journey:  mints, head cap, socks, something to read or word puzzles, gum, sea band for nausea, skin lotions and creams, etc.  Any other suggestions for those of you that have dealt with this will be most appreciated.  Thank you, and God Bless all of you.  Sending prayers. 🙏"
RADIATION FOR BRAIN CANCER,GOTHOPE,2024-10-13T14:15:19+00:00,"Hello to all of you Survivors out there!  I began my blog back in 2000 with OVCA, and continued through 2006 with another bout with OVCA and in 2013 with breast cancer.  This forum is invaluable for information, support and making new friends.  And now I have some questions regarding my sister-in-law who is dealing with stage 4 brain cancer. I'm sorry to say I do not have a formal diagnosis.  So I only have the following to provide:  This has been over a span of about 2 months.  Had a siezure and it was discovered she had a tumor on the brain.  Over the next couple of months, after tests and consults with the Mayo Clinic (my husband's brother and sister-in-law are in North Dakota), it had progressed even further in a short period of time and now the one tumor became three.  On Friday she had surgery in Minnesota and they removed all the tumors.  The doctor said had they not operated, she would have had only 4-5 weeks to live.  The doctor still says to hold on to hope, but in 50 causes the average is only 1 that goes into remission.They will head home this week, and she will go into a rehab facility for a while.  Then they plan on starting radiation in 4 weeks.  There is a small spot on her thyroid, which they said is not critical at this point.  Something on her spleen, which has not been identified.  And there was a cyst on her kidney which was biopsied and is benign.My questions:  If she chooses to have radiation, what can we send to her to make her more comfortable and able to get through this.  My 'care kit' for patients has included things like warm socks, mints, head covering of some kind, word puzzles, books, etc.  I assume brain radiation is going to cause more side affects than my breast cancer radiation did.More importantly, I would love to hear from those of you who maybe have chosen a different method of treatment, or maybe none at all?  Please give me your success stories, methods of treatment, and if any of you were stage 4.  I would like to give them plenty of options, as I come from a position of 'explore ALL options'.   That includes homeopathic, holistic, etc.  I really dread her having to do the radiation, as I know how it works and I don't see that it will prolong her life, maybe even make her more miserable and affected (siezures, eye sight, etc.) than is worth doing.  Any advice, suggestions, experiences will be most appreciated.  Again, thank you everyone.  And I pray that your journeys are sustainable and hopeful and miraculous!"
Oligodendroglioma Grade2 any 5years plus durvivors?,txcpwboydfw,2023-10-22T17:53:01+00:00,Hello Newly diagnosed grade 2Oligodendroglioma. Idh 1. Wait and watch approach. Idh1 mutation.  Anyone on here that has had no progression for 5+ years?
Newly diagnosed,m396tth,2024-06-20T22:04:21+00:00,"I’m newly diagnosed with a brain tumor. I don’t know what to expect and the idea of surgery is terrifying to me. How do I get the neurosurgeon on my case to slow down and walk me through it? Why is my doctor so impatient with my questions?  How do I ask about decision making…if/when it comes time to make those calls? I’m an orphan and unmarried - what are my options for POA? I don’t even know how to bring up these topics with a doctor, the idea of trying to tell the people who know me is even scarier…"
Question for my cousin diagnosed with inoperable tumor,AchillesMom,2024-06-02T06:34:55+00:00,"I hope someone can help us understand what is happening to our dear Maria.  She was told she has only months to live because she has brain cancer.  We are beside ourselves.  My aunt doesn't even know how to say the type of tumor she has!What type of tumor makes it hard to walk, hard to talk and makes a patient lose their memory completely in the present tense but remembers things from years ago?The MRI shows the tumors are also growing into her spine and they are doing radiation right now.  She has had seizures too that they thought at first were epilepsyThanksKaren"
Glioblastoma Stage IV Brain Cancer,Faith_Moves_Mountains,2017-07-14T00:42:56+00:00,
Possible Causes?,jinjee,2022-11-23T12:11:09+00:00,"I was told they don’t know what causes astrocytoma‘s. So I’ve had to develop my own ideas about what might have caused my massive grade ii astrocytoma to start growing around 2008.Here they are…living next to  orange groves sprayed with roundupworking on the computer 8-16 hours a day for yearsspeaking on the cell phone against my ear for hours  every daystress / financial stress / relationship stress (abuse)coming off of a really restrictive diet onto a normal  unhealthy dietAnyone else have any similarities? Or other ideas?Love and Hesling,Jinjee"
Emotional support for 21yr old w. upcoming occipital temporal tumor surgery,KLJ57,2024-07-09T02:54:06+00:00,"Hello, my niece has a tumor on her occipital lobe causing seizures.  She is scheduled for surgery the last week this month (July 2024) at MGH Brigham.  MRI today indicates tumor has grown 1cm since MRI in April.   She is a very level headed and mature person, and was ready to go forward with the surgery, but the latest MRI results have caused her to become apprehensive.Looking for a support group or individual who has had similar surgery and might help me with understanding the process and help her deal with the natural fear and trepidation.  Online or in person, would love to hear from a fellow survivor.  ACS survivors helped me so much when I was diagnosed and treated with stage 3 breast cancer in the year 2000.   Thanks in advance."
Childhood Medullablastoma,mcuccio,2009-04-10T14:08:37+00:00,I have a 2 year old nephew that has just been diagnosed with Medullablastoma.  I have been desperately trying to find an adult survivor from this cancer that was diagnosed at a very young age (under 3) and have had no luck. I am hoping that someone has some information on dealing with this cancer from this early age.  Can someone please reach out to me???  Thank you.
