Title,Author,Date,Content
Would you?,joanagan,2024-11-06T01:27:57+00:00,"I am 81 years old.  I tested positive for slight blood in my stools.  I hate having a colonoscopy because of the prep.  I know that the efficiency of screening declines at the age of 75 and is not even recommended at the age of 85.  I will not get radiation, nor chemo therapy.  Is there even a need to pursue it?"
Tubulovillous adenoma question,Summer91,2024-11-03T14:54:22+00:00,"All, in 2019, my gastroenterologist removed a 2cm flat polyp from rectum that was classified as a Tubulovillous adenoma.  I know this is a benign polyp but does have a 20% -40% chance of becoming malignant (different % depending on sources).  Due to the pandemic and life issues, I did not have another colonoscopy until last week.   Another polyp was discovered directly adjacent to the site of the removed polyp but was more tubular than flat.  The gastroenterologist said he did not feel comfortable removing it because of the scar tissue.  He did a biopsy and the pathology report again classifies the polyp as Tubulovillous adenoma.  He says it needs to be surgically removed.  Has anyone had this surgery?  Any problems or adverse effects?  Thanks!"
Stage 3 Rectal cancer Recurrence,hasanghp,2024-10-17T07:39:51+00:00,"HiI am male with 37 years oldI was diagnosed with stage 3 rectum cancer Aug 2023 about 6 cm tumor in my rectum and 8 cm distance to anal verge .I did first CT for checking metastas and it was clear.My oncologist decided  6 rounds of chemotherapy with folfox. After it was ended, I did my second CT and shows that tumor size has been reduced about 50%, at least 4 lymph are in abnormal size, also a sub centimeter lesion in Lt. lobe 4 of my liver that should be follow up.after that I started 28 radiotherapy plus oral xeloda. At Feb 2024 I did LAR surgery. Pathology answer shows 4/5 lymph invasions and margins are free and IHC results showed wild kras and no mutation . Apr 2024 reversed colestomy. After that I did 6 Adjuvant chemo with Folfox + Cetuximab+Bevacizumab. All process was completed at Jun 2024. 
1 week ago I did first follow up PET/CT after 3 months from last chemo ending and unfortunately it shows 1 tumor in lobe 6 of my liver about 1cm dimension. after I have seen this result I’m so feared and scared. My oncologist suggested interventional radiology to destroy tumor. I didn’t expect recurrence to occur in this short time"
Caregiver support needed,CQuezada68,2024-11-01T21:57:01+00:00,"My name is Christy and my husband is Javier. Javier was diagnosed with adenosquamous carcinoma of the colon . The tumor grew outside his colon and was the size of a melon when it was removed. It was Stage IV. It is rare and aggressive. 3 weeks after surgery,the cancer has returned. We underwent radiation to the tumor on his spine to relwve the pain and allow him to walk again. We are now in Chemo. First therapy is down , not good. Huge drop in wbc , low BP.As his wife and caregiver i struggle most days and i am working full-time with a very understanding company.  I am sad and frustrated and feel veey alone in this journey My husband's statsMale , 55 Diagnosed July 2024Prognosis 6-12 monthsAdenosquamous Carcinoma no specific origin Chemo: Folfox6"
Recovery from Lower Anterior Resection?,prairyfire,2024-04-20T02:55:52+00:00,I’m scheduled for a lower anterior resection for my stage 3 rectal cancer.  I’ve had 6 rounds of FolFurinox and six weeks of 5fu and radiation.  I’m 46 and still working full time.  I would like to hear from anyone who has had the LAR and what the surgery recovery is like?  When were you able to return to work?  Any helpful advice for quick recovery?  I’m trying my best to balance cancer and career and family…. Any advice would be helpful. Thanks in advance.
Pet scans,aussTex,2024-10-22T17:03:35+00:00,"I’ve had two primary cancers, breast and now s4 lung cancer requiring quarterly ct or pet scans. After about a year of an area in my colon showing persistent focal uptake, my oncologist insisted I have a colonoscopy. Thankfully it was only an advanced precancer, 1.1 cm tubulovillious, fully resected, clear margins, but the colon oncologist said if i had waited six more months I would have had a primary colon cancer. My only symptoms that disappeared a week after were intense bloating and mucous in diarrhea. 11 weeks later I had my routine pet scan which again showed uptake, higher than last time (was 12.1 now 16.4). Colon oncologist said it’s probably an inflammatory response to the removal, and that he didn’t miss anything, and even gave me pictures of the poly, etc. But my colonoscopy went much longer than expected, and he told my family is was difficult because I have a redundant colon, so it took longer and more staff to help move and reposition me so they could get all the imaging. In fact, somehow they blew the vein my iv was in, and I woke up during, then they accessed a vein in my foot for the remainder of the procedure. He said not to worry about it, that if my next pet scan still shows activity there he can do another colonoscopy. My next scan is mid January. I’ve heard colon cancer is slow growing, so if somehow something was left behind it wouldn’t be growing like crazy. I’m not concerned they didn’t get it all, but that they missed another one because of the rolling, repositioning and waking going on. Has anyone here had pet or ct scans after a polypectomy??? Does anyone else have an extra long colon? What SUV is considered concerning in the colon? Why would a precancer have such a high SUV??? My lung cancer was stage 4 but only had an SUV of 4.7! Any insight at all would be helpful!"
Metastasis to Peritoneum,michaelmcc,2024-10-18T14:50:51+00:00,Has anyone had colon cancer that has metastasized to the peritoneum that can share some positive recovery experience with me? I started immunotherapy yesterday and know it can be effective but feeling a little down and could use to hear some stories of recovery.
First Post Stage IV,Onmyfeet,2023-09-20T21:18:39+00:00,"After reading stories for two years and and talking with people who are in the fight, I was encouraged to share my story. I can only hope it helps someone.After 3 months of testing; blood, stool, urine. Dr.'s were convinced I had IBS and stress induced constipation.  A colonoscopy was finally ordered. I was diagnosed December 7, 2021.  A mass was found at the base of my colon.  They said not to worry I would have surgery the following week to have it removed. A CT was ordered to determine exact size and location of the mass.  The CT revealed I had 12 spots spread through both sides of my liver.  I was now diagnosed stage IV, and was told surgery was not an option.  I was 36 years old.My Port was put in in January of 2022. I immediately started chemotherapy.  My initial regime was leucovorin, oxaliplatin, irinotecan,  fluorouracil, and mvasi, every two weeks.  I did 6 cycles of this and had another Ct.  This scan showed the chemo was working.  All of the cancer had shrunk, and 4 spots had disappeared. My case went before a tumor board and they decided surgery was an option.  I did 5 more rounds of chemo and had my first liver resection in July of 2022.  It was a nine hour surgery.  Surgery was considered a success, with clear margins. Post surgery my stomach shut down for 3 days and I developed a soft tissue channel/sinus in my chest that would not close due to the constant fluid flow from around my liver. This wound would not close for almost a year. I did 2 more rounds of chemo in September of 2022 and prepared for my colon surgery in October.I woke up form colon surgery with a surprise ostomy bag.  This was quite the surprise but I was informed it was only temporary and again surgery was considered successful with clear margins.    At the end of December 2022 I had my ostomy reversal.  I was ready to start a new year.In January of this year I had a follow up CT.  It revealed 4 spots had shown back up on my liver. My Dr.'s decided on more chemo and a second liver resection. This chemo regime was dialed back to only irinotecan, the  fluorouracil, and mvasi, I did 5 rounds, again every two weeks.I had my second liver resection in May.  This surgery was only 7 hours, mainly due to the amount of scar tissue and the fact that while trying to free my liver from the scar tissue and my diaphragm, my lung was nicked, requiring a chest tube for a few days. They closed the chest wound that had been open since the previous July, and again, clear margins.My oncologist gave me the option; take 3 months off and then we'll do another scan, or do a few rounds of ""mop up"" chemo and then a scan.  As much as I craved a break, I decided to opt for the chemo.  I did 3 rounds and got another CT.  This one revealed 3 more spots on the liver.  At this time my oncologist determined the irinotecan to be ineffective.  We would continue the chemo but switch back to the oxaliplatin, leucovorin,  fluorouracil, and mvasi. I have done 4 rounds of this, with 2 more scheduled before my next scan.As I right this I am currently on a 3 week break before my next 2 rounds and another CT.  I am celebrating my 38th birthday. I am enjoying the time with my wife and two boys(4 and 2). I am golfing, camping and enjoying wine. Through this whole process, I have only stopped work to recover from surgery and taken the occasional Friday off to recover from chemo.  I have met and talked with other people fighting who have it much worse then me. I refuse to let this disease make me feel sorry for myself, I refuse to let it dictate my life any more then necessary.  This disease is not who we are, it is not the defining point of our life, if it gets me in the end, I am determined to go out on my feet. We can never stop fighting!"
Won't schedule surgery because I'm paying cash,rogue_life,2024-07-31T22:45:51+00:00,"Hi All, I was diagnosed with colon cancer in April, It took until June to have the colonoscopy done. The  tumor is located in the ascending colon and Dr requested a surgical consult on June 28.  Tomorrow is August st and the appointment is still not scheduled. When I asked why they said it was because I was paying cash instead of using insurance. Why does form of payment disqualify me for treatment?"
Port Removal,bangle,2024-10-01T16:43:11+00:00,"Hi, just curious after port removal how long it takes for the spot to heal.  I am still have a small lump where the port was 8 weeks out."
