Title,Author,Date,Content
Still confused about Creatinine and GFR,MikeK703,2011-06-30T18:52:10+00:00,"This is a quote from the National Kidney Foundation website in answer to a question from somebody whose creatinine level was 1.58:""A creatinine level of 1.58 may be normal after removal of one kidney, especially if you are over 50 years of age. Removing one kidney always results in a decrease in total kidney function and an elevation in the creatinine test.""  Notice the ""always.""From MedicineNet.com:""A person with only one kidney may have a normal level of about 1.8 or 1.9."" Notice the ""normal.""My levels were normal before my radical nephrectomy and went bad immediately afterwards.  The above statements pretty much jibe with what my urologist told me -- that my creatinine readings (currently 1.5) and GFR readings (currently 47) are normal for somebody with one kidney.  Yet my nephrologist tells me I have chronic kidney disease (CKD), Stage 3. He is not ""alarmed"" but of course I am.  I told the nephrologist what my urologist said and what I had read online and he said, ""oh yes, that's true.""  But he still diagnosed me as having CKD and has ordered more blood tests at the end of July, which I don't have a problem with.  As a matter of fact, I like being monitored this closely.  But of course, I am confused.  I plan to discuss this with my urologist in my second followup visit in August.Thank you, Iceman, for sharing your results in my previous posting but I'd like to know how others' blood tests have gone since their surgeries.  If you don't mind, may I ask who else has had high creatinine/low GFR readings?  And if so, have you been told you have ""chronic kidney disease?"" Or have you been told that this is normal for your situation and nothing really to worry about?Thanks.Mike"
Complex Renal Cyst,Melanna,2024-10-22T14:22:01+00:00,"Hello All,I found this board a couple months ago when my dad was suddenly diagnosed with a mass on his kidney the size of a baseball. He had a nephrectomy and has been doing well since (pathology was RCC). I have been working to take care of my own body to ensure that if he ever needed a kidney, I would have one to spare. Well, after a recent ultrasound of my abdomen, it seems I have a multiloculated multiseptated cystic structure in the lower pole of the left kidney. It’s about 4x4x4. I’m in my 30’s, so a bit of a shock. I have a CT scheduled in two days, so now just a waiting game. Reading all of your experiences has been so helpful! What a great board for information and support! Thank you! ☺️"
8 years,stub1969,2024-08-07T22:48:12+00:00,"Hello again!  I had my scans yesterday and everything (kidney-wise) came back clear.  Just click on my icon to view my history.  They did see a little blip in my small intestine and will follow up with GI.   I'm glad to see ""Bay"", ""Donna"", ""Jazzgirl"", ""Lobbyist"" and others still providing wisdom and support.  Sorry, I've been gone for so long.  Life is just busy.   My youngest daughter just graduated from high school and was recruited to play basketball in college.   We'll be putting some miles on to watch her play:)"
Biggest incision swells,paulaf62,2024-11-10T15:45:09+00:00,"hi all,Had a partial nephrectomy 10/23, RCC clear stage 2, feeling pretty good at almost 3 weeks post op,  my concern in that my largest incision, one right below my left ribcage swells when I eat. I realize it’s right where my stomach and transverse colon is, could that be why?  Should I be concerned?  Anyone else have this? 
i see a lot of post from years ago, hope this board is still open"
Translocation RCC,nammu177,2024-10-26T15:38:32+00:00,"Hi all, My younger brother ( 33 yo) was recently diagnosed with a 20cm left kidney mass after having a cough for two months and then suddenly night sweats and weight loss in Sept 2024, underwent left open radical nephrectomy. The pathology report showed mixed cell types and spread to nearby lymph nodes. After 4 weeks another CT chest shows a new small growth in a supraclavicular lymph node and the biopsy was positive and last week they confirmed it was translocation RCC. He will be getting a combo immunotherapy treatment and I’m really hoping it responds. I wanted to see if anyone out there with similar experiences and how you were treated if stage 4 cancer  and recommendations for cancer centers for a second opinion especially this is a rare subtype . I tried to call MD Anderson and Memorial Sloan but they will not do telehealth for patients in CA. His current doctor seems to be great but because this is rare, I feel another opinion would help or if both docs can collaborate. Thank you!"
My experience after having a Laparoscopic  Partial Nephrectomy,sunny1234,2023-11-16T15:35:19+00:00,"I had my surgery 2weeks ago. This is what i experienced, Remember we are all different.On day one was stay was in hospital day 2 went home. Wow pain for the first few days was pretty ripe no laughing deep breathing coughing sneezing or yawning. My Shoulders hurt.  Did not really eat the first few day slowly started to eat no appetite in the first week, i have only just recently started to eat normal.  On day three i was able to just take Tylenol for my pain during the day as it slowly got better. I went for a 1/4 mile walk  i was very tired afterward.    For 4 nights at bedtime  i would take the pain med so i could sleep.  Day five i stopped night time pain med do to no bowel movement I only took Tylenol.   I Was taking Colace from day one, I added Miralax on day 3 took me almost 8 days before i moved my bowels.  Everyday i get a little better but my energy, being able to move quickly is only at 60% .  I still get tired after my walks and doing to many things.  On day 6 oh boy the itching began it got so bad that i had to take Benedryl every three hours for about 4 days. I still take benedryl but not as much. The itching can get very intense. I have my good days and my bad ones meaning some days i feel almost normal and then there are days when i feel completely tired. I know that this will all get better in time. I am very happy that i can go on my walks everyday.  Things you may want to have in your house after surgery is benedryl or zurtex for itching Tylenol for pain and a laxative.  I still do not know my results from the pathology report i guess i will find out at the end of the month when i finally see my Doctor. I will be updating this post for a while . What i also found helpful in the beginning was to press a pillow against my stomach in case i cough sneezed or laughed. at night i kept a pillow on my stomach to prevent me from opening the incisions do to severe itching.Has anyone used a anti itch topical after 2 weeks? I Truly appreciate any feedback to help make my days go by a little easier the itching is just torment..Sunny."
Tumor is back,Mick182,2024-10-24T02:11:55+00:00,"They found tumors on my left kidney in 2016 and performed a partial left nephrectomy. They’re back. Now they’re removing the entire kidney.
My doctor hates me. They scheduled the procedure for March. I called once to ask if I could get an earlier date. I was worried it would spread. 
I went in to talk to my doctor in person. He called me a “big fatty.” He said he’d schedule dates for Black Friday because he “hates his family anyway.” Kept complaining about the hospital and having to talk to patients rather than operate: I don’t trust him now but what options do I have. If I try to get another doctor the cancer could spread between now and whenever that new doctor schedules surgery.
I feel more alone than ever."
Stage 4 RCC that has metastasized,dez300,2024-10-28T21:23:14+00:00,"My 82yr old Mom was diagnosed with Stage 4 Kidney Cancer that has metastasized in her ribs, liver and spine. Prior to finding out she was living a normal lifestyle at her age and this has been quite a shock. By the time we were figured out what DR’s we need to see and all the tests we are now almost 4mo’s into this and so confused and scared. She started an infusion and had 2 treatments along with a pill treatment which is she is having side effects from so they took her off it.  Eating, pains and strength all are not tolerable and the meds they give her are not working so great and she says all that works with the Pain is Advil.  I am a loss on how to help her and my heart is breaking for her! I need some resources and advice to how to manage this and help her to eat, she is so nauseous and bad taste. We give her Boost and sometimes she can hold some food down but most days she can’t even eat.Her treatment plan was: Opdivo Infusions every 28days and Cabometyx pill every day!"
Cabometyx side effects,twolabs,2024-11-07T22:39:17+00:00,"hi I’m new here. My husband has been living with RCC for seven years. He had kidney removed and at the time they found spots in his lungs.  Spots were slow growing so for most of that time he has been symptom free. But over the last year cancer has spread to other areas and tumors in lungs are larger.  He was put on Cabo recently after having tried immunotherapy which caused him to develop chronic pancreatitis. Cabo has had side effects for him and I am wondering if anyone has tips on how they manage the side effects of this drug. For him it’s mainly nausea, fatigue, pain in solar plexus which could actually be the pancreatitis. Considering taking only for 5 days and giving a break of two days. Or taking at night instead of am.  Trying to help him find ways to tolerate this better. Thanks in advance."
"Almost 6years RCC free, but my Dad has level 12 PSA BPH",StephAmbler85,2024-10-16T05:06:58+00:00,"Ok... I had CC RCC and open partial nephrectomy back In Jan of 2018. Found out I have MITF gene mutation which causes melanoma and RCC. I was dx at 32 yrs with 3.2 cm CC RCC on my Right kidney lower pole. Anyway, melanoma runs in my family along with lung, esophageal, pancreatic, ovarian, and other skin cancers. My Dad is 74 with BPH, and his father had the same with no cancer. My mom passed at 54 from esophageal cancer but from alcohol and smoking cigarettes. My dad's mom had ovarian cancer and died in her 50's a few months before I was born in 1985. Anyone know of any connection with MITF gene mutation and Prostate cancer? My dad is at a 12.  50% chance of getting it. And seems like he has beginning Alzheimer's at the young age of 74. Started memory issues at 65ish ."
