Title,Author,Date,Content
Basal Cell Nasal Reconstructive,Mckinney3,2024-11-01T11:29:28+00:00,"I just got the word in 2 weeks i see my Dr to make a plane for my basal cell removal across my nose and then right into reconstructive surgery!!! Iv never been so happy and scared to death at the same time. Do you guys think the flap surgery is the way to go, or get the skin graft surgery. I am so nervous for the process, I'm scared, relieved, happy and most of all unsure.. Thanks in advance for the feedback.."
Multiple skin cancer removals at once,Soup4u,2023-10-20T20:31:12+00:00,"I was recently diagnosed with 3 basal cell skin cancers.  I’m feeling really anxious about the surgery as previous Mohs surgeries have been really painful. I was hoping to get all 3 taken care of at the same time, but most places around me only do one at a time. I did find one location that would do 2 at a time . I’m just wondering which would be better? I feel like getting more done at once would be better, but will it be more painful. Has anyone ever had multiple Mohs surgeries in the same day? What was your experience like?"
Daughter,tince,2024-10-26T11:10:25+00:00,"My daughter was just 2 days in diagnosed with superficial spreading melanoma. Her initial biopsy came back as melanoma, non invasive with clear margins. 0.26mm. Need less to say we are at a loss as this was completely in expected."
dfsp -- should I be talking to onco?,ashrough,2023-11-15T05:34:59+00:00,"Hello. I'm 21 (F) and I was diagnosed with DFSP in August 2023. I had a growth just under my left breast for about 2.5 years. It was not until it drastically grew in size that I was referred to general surgery. In gen surgery, they tried to biopsy me thinking it was a cyst, only to find out it was a tumor. I then had the tumor fully taken out and was able to have negative margins without radiation/chemo. Now here's what I'm worried about. It was only through my surgeon that I was able to hear that (1) I had cancer, and (2) had negative margins and have ""nothing to worry about"". I haven't talked directly to someone specializing in oncology or have more specific knowledge about DFSP in my journey. If I didn't need chemo or radiation, would it be excessive/unnecessary that I try talking to someone more specialized? In addition, should I be arranging regular annual meetings? navigating the health system alone has been overall really difficult and I would really like some advice! Thank you so much"
"In 1 week, I’m having scalp surgery",CathySueH02,2024-10-08T05:18:38+00:00,"There is a tumor, a rare type of skin cancer close to the crown of my head.  I believe they’re removing about 3” of my scalp. 
Has anyone had similar surgery?  I don’t know what to do … how to prepare … I’m afraid … of the unknown. I just know my head will be shaved. That’s it."
MOHS Surgery Shock,Litl18,2024-07-04T16:44:38+00:00,"I am hoping to hear from anyone having had MOHS surgery and is willing to share your recovery and healing process, including products and/or procedures used. 
I had MOHS surgery two days ago to remove a cancerous spot in the area between my upper lip and my nose. The spot is about the size of a pencil eraser…but I ended up with 21 stitches that goes into my upper lip. I am swollen, woke up with blood on my mouth and chin, plus a blood clot formed on my lip stitches. I cleaned the whole area with a gauze pad and water followed by a layer of Aquaphor and covered it with gauze. I have also been puttting ice on it throughout the day. I am in shock that I have 21 stitches that run into my lip, which makes it difficult to drink and eat. I’ve been taking pain meds to help manage the pain and discomfort. While I am thankful that the cancer has been removed, I am hoping to hear what I can expect as far as the healing process and scaring. It’s not a pretty sight right now but I know it needs time to heal. I just want to be realistic about what I can expect to get out of the healing process. I’ve been told to purchase scar pads (as opposed to scar gel) and was wondering if there is a specific brand that works best? Thank you for reading this and looking forward to your experience and suggestions."
Absolutely TERRIFIED,guitarsouth,2024-08-23T22:32:18+00:00,"HHi folks, I must say, it really hurts to have to join this forum.MMy situation looks bad because what I THOUGHT was an ingrown whisker is obviously cancer.  My nurse yesterday knew as soon as she saw it.  She said unfortunately, the waiting line to see the dermatology doctor is around 2 months.PProblem is, I assumed this whisker  was just not healing and I have waited darn near a year and a half, maybe even 2 years before I got it checked.MMy son freaked out when I sent him a photo of it.  It looks like melonoma to me, he sent a PIC to cha GDP and it says it looks like one of the other 2.II am 62 years old and live alone, lasnight was my first night with this horrible knowledge.  I just took a PIC of it on this phone I will use for this forum, but I know it looks real bad.  I am of course, hoping for support, and foods or meds over the country I should get.  The nurse told me to get Aquaphor or some such, I did find it, she said put a thin layer on it, and she reffered me to Hyland detrmatology here in Cookeville, TN, I am waiting for them to call and setup an appointment for me, no doubt it will be a long wait and this has already Bern active for a long time.  I feel really scared.  I am posting the PIC I just now took, thanks so much for any support or advice."
MOHS on ear?,airborne72,2024-03-20T12:55:48+00:00,"I have a persistent SCC on my ear that was treated by the low dose radiation method last summer, but it has returned.  My next option is to cut it out (MOHS).  This is my concern.  I don't have much ""meat"" on my ears and this lesion is on one of those areas.  It seems to me that the distance between the skin and the cartilage is very thin.  Therefore, if a MOHS procedure is conducted then we will risk cutting a hole in my ear.Anyone with a similar experience?  On the positive side, if I do end up with a hole in my ear then I might just get a piercing to fill it in.  My daughters and granddaughters would be proud.Jim"
Spot that won’t heal,Shannytay,2024-09-24T15:38:51+00:00,"After showing a friend these spots on my knee and one below knee, she ask me to get it checked. I have appointment in a few weeks. Any thoughts from the photos? The raised spot on my knee came up months ago. I thought I’d bumped it and made a blood blister. But it got bigger and darker. Another spot started below but not like the raised one. Thanks for your time."
New to this group.,Kickapo28,2023-05-12T22:07:16+00:00,"Hi. I first got melanoma in 2016. Surgically removed from my lower leg and 3 more surgeries for new spots that popped up. Been on immunotherapy for 12 months. Combo now of OPDIVO and Yervoy. Side effects are not too bad. Had big problems with pills prescribed before. My last surgery was in October 2021. I ask myself if I still have melanoma. All surgeries in my left,lower leg. Never spread anywhere else. Pet scans been good, however oncologist continues to remind me this disease can be microscopic and not show up in the scans.  Regular visits to the dermatologist reveal no new trouble spots. Their fear, and mine, is I have lots of moles in that area. Have worries about this but luckily not all consuming ( most of the time). Just seems like unless you are dealing with this, not much understanding from others."
